Wall time,Step,Value
1616549616.439178,26,1.7550122737884521
1616554553.0030837,53,1.6814402341842651
1616559526.8316102,80,1.5831859111785889
1616564387.2979496,107,1.5955771207809448
1616568978.4517481,134,1.5372483730316162
1616573926.6828706,161,1.547409176826477
1616579734.40224,188,1.5140633583068848
1616584974.8156435,215,1.5412728786468506
1616590240.240289,242,1.5093120336532593
1616594551.1128824,269,1.5102776288986206
1616598958.999804,296,1.5042155981063843
1616602781.1191819,323,1.4882372617721558
1616606688.1933506,350,1.5014969110488892
1616610677.3932016,377,1.5142651796340942
1616614649.5886168,404,1.4896605014801025
1616618876.1730065,431,1.4804420471191406
1616623137.4654918,458,1.5006697177886963
1616627630.248982,485,1.4978971481323242
1616631550.1336708,512,1.4892995357513428
1616635850.597319,539,1.4761375188827515
1616639977.9372866,566,1.4934113025665283
1616643888.4346821,593,1.4944502115249634
1616648009.200639,620,1.487647294998169
1616652140.9159625,647,1.4635416269302368
1616656230.8537107,674,1.4876515865325928
1616660315.451082,701,1.496556043624878
1616664482.8184156,728,1.4735665321350098
1616668797.143689,755,1.4701896905899048
1616672929.76701,782,1.4692249298095703
1616676912.7879782,809,1.4902156591415405
1616680868.906857,836,1.4685250520706177
1616685126.5244327,863,1.4597339630126953
1616689348.4919708,890,1.4822444915771484
1616693624.501379,917,1.466468334197998
1616697828.671227,944,1.4657853841781616
1616701953.6817555,971,1.4618828296661377
1616706256.6555922,998,1.4971613883972168
1616710362.7914164,1025,1.4874210357666016
1616714666.0782044,1052,1.4715694189071655
1616718782.6895795,1079,1.4847934246063232
1616722122.1068678,1106,1.4517308473587036
1616726893.9184241,1133,1.4766831398010254
1616731364.3149588,1160,1.4727048873901367
1616736113.0106153,1187,1.4651435613632202
1616742174.7398882,1214,1.4558930397033691
1616747880.1161377,1241,1.4741085767745972
1616753581.7163274,1268,1.458953857421875
1616758849.8626697,1295,1.4743356704711914
1616763498.2195382,1322,1.474975824356079
1616768139.5521436,1349,1.492016077041626
1616773237.0100315,1376,1.4475504159927368
1616778927.299399,1403,1.4767550230026245
1616784744.8138819,1430,1.4663009643554688
1616790595.6136563,1457,1.4592128992080688
1616795814.4660556,1484,1.469075083732605
1616800953.7294593,1511,1.4759113788604736
1616806194.1804008,1538,1.4723159074783325
1616811299.9090276,1565,1.486868977546692
1616816415.4180272,1592,1.465205430984497
1616821517.3424182,1619,1.4748492240905762
1616826029.090104,1646,1.4737168550491333
1616831122.4945123,1673,1.4710170030593872
1616836595.714044,1700,1.4419002532958984
1616841659.1627915,1727,1.4776171445846558
