Wall time,Step,Value
1617574421.9427643,13,1.6936452388763428
1617579311.8899293,27,1.7187857627868652
1617584542.404329,41,1.7187857627868652
1617589860.3883162,55,1.7187857627868652
1617595524.44951,69,1.7187857627868652
1617601499.7567441,83,1.7187857627868652
1617607448.1940534,97,1.7187857627868652
1617613447.3125172,111,1.7187857627868652
1617619345.4615865,125,1.7187857627868652
1617625616.8481665,139,1.7187857627868652
1617631579.0175283,153,1.7187857627868652
1617637373.6880827,167,1.7187857627868652
1617643242.5778456,181,1.7187857627868652
1617649280.1127644,195,1.7187857627868652
1617655418.4630463,209,1.7187857627868652
1617661782.947049,223,1.7187857627868652
1617667934.0560822,237,1.7187857627868652
1617674343.924451,251,1.7187857627868652
1617680529.6384535,265,1.7187857627868652
1617687021.2559903,279,1.7187857627868652
1617693054.7201872,293,1.7187857627868652
1617699209.7069473,307,1.7187857627868652
1617705184.848486,321,1.7187857627868652
1617710686.599102,335,1.7187857627868652
1617716124.9911714,349,1.7187857627868652
1617721524.4048615,363,1.7187857627868652
1617727099.2705753,377,1.7187857627868652
1617732684.0346358,391,1.7187857627868652
1617738132.1004124,405,1.7187857627868652
1617742282.8667,419,1.7187857627868652
1617745796.5381773,433,1.7187857627868652
1617749368.2337368,447,1.7187857627868652
1617752972.8172424,461,1.7187857627868652
1617756535.0076654,475,1.7187857627868652
1617760033.9987578,489,1.7187857627868652
1617763600.5648916,503,1.7187857627868652
1617767262.686926,517,1.7187857627868652
1617770762.099501,531,1.7187857627868652
1617774252.1752899,545,1.7187857627868652
1617777803.288942,559,1.7187857627868652
1617781271.8554716,573,1.7187857627868652
1617784824.94644,587,1.7187857627868652
1617788327.6698296,601,1.7187857627868652
1617791860.2208302,615,1.7187857627868652
1617795488.163137,629,1.7187857627868652
1617799046.327985,643,1.7187857627868652
1617802678.1653504,657,1.7187857627868652
1617806195.630292,671,1.7187857627868652
1617809777.9822457,685,1.7187857627868652
1617813218.268215,699,1.7187857627868652
1617816770.2284398,713,1.7187857627868652
1617820314.801284,727,1.7187857627868652
1617823876.824534,741,1.7187857627868652
1617827432.5090084,755,1.7187857627868652
1617831016.704384,769,1.7187857627868652
1617834797.9920223,783,1.7187857627868652
1617840320.861454,797,1.7187857627868652
1617846223.545326,811,1.7187857627868652
1617852143.1984234,825,1.7187857627868652
1617858216.0994844,839,1.7187857627868652
1617864261.7737353,853,1.7187856435775757
1617870352.4219494,867,1.7187855243682861
1617876545.8438768,881,1.7187855243682861
1617882684.8190033,895,1.7187855243682861
1617888892.8931673,909,1.7187851667404175
1617895073.7604353,923,1.7187851667404175
1617900245.4796214,937,1.718785047531128
1617905430.946041,951,1.7187846899032593
1617910512.5369334,965,1.7187840938568115
1617915655.9776914,979,1.7187830209732056
1617920806.4919596,993,1.7187800407409668
1617925941.5172884,1007,1.71876060962677
1617931072.4683995,1021,1.7115447521209717
1617936318.6395302,1035,1.718098521232605
1617941642.8347998,1049,1.7105357646942139
1617946853.905092,1063,1.6848620176315308
1617952208.750424,1077,1.7295299768447876
1617957465.2071311,1091,1.710392713546753
1617962787.345111,1105,1.688339114189148
1617968074.7577941,1119,1.704776406288147
1617973333.4440012,1133,1.6860755681991577
1617978512.3221858,1147,1.684865951538086
1617983760.7805748,1161,1.6837892532348633
1617989261.6046083,1175,1.677169680595398
1617994639.0073466,1189,1.684814453125
1618000224.031627,1203,1.6756534576416016
1618005729.311608,1217,1.6742866039276123
1618011104.8553271,1231,1.6761795282363892
1618016489.9994648,1245,1.6738747358322144
1618021823.5209587,1259,1.6739493608474731
1618027322.4217916,1273,1.6747426986694336
1618032740.9697595,1287,1.674885630607605
1618038152.1068108,1301,1.6724178791046143
1618043714.4237473,1315,1.6733472347259521
1618049193.9815266,1329,1.6725642681121826
1618054779.4307714,1343,1.6716198921203613
1618060351.94509,1357,1.67271089553833
1618065787.5803924,1371,1.672156572341919
1618071459.0752013,1385,1.6717798709869385
1618076985.0856285,1399,1.6710203886032104
